,Style_Color,ds,y
28495,DTA6N8502IV,2017-11-27,12
28496,DTA6N8502IV,2017-12-04,24
28497,DTA6N8502IV,2017-12-11,12
28498,DTA6N8502IV,2017-12-18,24
28499,DTA6N8502IV,2017-12-25,12
28500,DTA6N8502IV,2018-01-01,36
28501,DTA6N8502IV,2018-01-08,60
28502,DTA6N8502IV,2018-01-22,48
28503,DTA6N8502IV,2018-01-29,24
28504,DTA6N8502IV,2018-02-12,12
28505,DTA6N8502IV,2018-03-12,12
28506,DTA6N8502IV,2018-03-19,36
28507,DTA6N8502IV,2018-04-09,12
28508,DTA6N8502IV,2018-06-04,12
28509,DTA6N8502IV,2018-08-13,48
28510,DTA6N8502JET,2017-07-03,144
28511,DTA6N8502JET,2017-07-10,168
28512,DTA6N8502JET,2017-07-17,168
28513,DTA6N8502JET,2017-07-24,60
28514,DTA6N8502JET,2017-07-31,48
28515,DTA6N8502JET,2017-08-07,144
28516,DTA6N8502JET,2017-08-14,180
28517,DTA6N8502JET,2017-08-21,12
28518,DTA6N8502JET,2017-09-04,24
28519,DTA6N8502JET,2017-09-18,120
28520,DTA6N8502JET,2017-09-25,84
28521,DTA6N8502JET,2017-10-02,36
28522,DTA6N8502JET,2017-10-09,48
28523,DTA6N8502JET,2017-10-16,36
28524,DTA6N8502JET,2017-10-30,72
28525,DTA6N8502JET,2017-11-06,35
28526,DTA6N8502JET,2017-11-13,24
28527,DTA6N8502JET,2017-11-20,12
28528,DTA6N8502JET,2017-11-27,36
28529,DTA6N8502JET,2017-12-04,72
28530,DTA6N8502JET,2017-12-11,60
28531,DTA6N8502JET,2017-12-18,24
28532,DTA6N8502JET,2017-12-25,12
28533,DTA6N8502JET,2018-01-01,48
28534,DTA6N8502JET,2018-01-08,24
28535,DTA6N8502JET,2018-01-22,48
28536,DTA6N8502JET,2018-01-29,48
28537,DTA6N8502JET,2018-02-12,12
28538,DTA6N8502JET,2018-03-05,12
28539,DTA6N8502JET,2018-03-12,12
28540,DTA6N8502JET,2018-03-19,36
28541,DTA6N8502JET,2018-04-02,12
28542,DTA6N8502JET,2018-05-07,12
28543,DTA6N8502JET,2018-05-28,12
28544,DTA6N8502JET,2018-06-04,12
28545,DTA6N8502JET,2018-06-25,48
36196,DTAE1727GD-OPL,2016-09-26,54
36197,DTAE1727GD-OPL,2016-10-03,63
36198,DTAE1727GD-OPL,2016-10-10,2
36199,DTAE1727GD-OPL,2016-10-17,3
36200,DTAE1727GD-OPL,2016-10-24,4
36201,DTAE1727GD-OPL,2016-10-31,7
36202,DTAE1727GD-OPL,2016-11-07,6
36203,DTAE1727GD-OPL,2016-11-14,9
36204,DTAE1727GD-OPL,2016-11-21,11
36205,DTAE1727GD-OPL,2016-11-28,14
36206,DTAE1727GD-OPL,2016-12-12,4
36207,DTAE1727GD-OPL,2016-12-19,6
36208,DTAE1727GD-OPL,2017-01-09,13
36209,DTAE1727GD-OPL,2017-01-23,45
36210,DTAE1727GD-OPL,2017-01-30,6
